Category,Subcategory,countryISO3,region_code,population,hoursPerDayCombined,uncertaintyCombined,dataStatus,dataStatusEconomic
Food provision,Food preparation,ABW,AM_C,101665.0,1.47,0.23763034562920782,interpolated,observed
Food provision,Food growth & collection,ABW,AM_C,101665.0,0.17,0.02687976510331488,interpolated,observed
Food provision,Food processing,ABW,AM_C,101665.0,0.0,0.0075264607911538,interpolated,observed
Nonfood provision,Materials,ABW,AM_C,101665.0,0.03,0.002071594708935142,interpolated,observed
Nonfood provision,Energy,ABW,AM_C,101665.0,0.05,0.003596790007962841,interpolated,observed
Technosphere modification,Infrastructure,ABW,AM_C,101665.0,0.07,0.0007945834241719482,interpolated,observed
Technosphere modification,Buildings,ABW,AM_C,101665.0,0.22,0.01386789731616375,interpolated,observed
Technosphere modification,Artifacts,ABW,AM_C,101665.0,0.25,0.01551531761936432,interpolated,observed
Maintenance of surroundings,Inhabited environment,ABW,AM_C,101665.0,1.41,0.21175147137401262,interpolated,observed
Somatic maintenance,Sleep & bedrest,ABW,AM_C,101665.0,8.21,3.8838580704242074,interpolated,observed
Maintenance of surroundings,Waste management,ABW,AM_C,101665.0,0.02,0.000750728183834718,interpolated,observed
Somatic maintenance,Physical child care,ABW,AM_C,101665.0,0.7,0.07098434543021044,interpolated,observed
Somatic maintenance,Health care,ABW,AM_C,101665.0,0.47,0.04452763009626755,interpolated,observed
Somatic maintenance,Hygiene & grooming,ABW,AM_C,101665.0,0.93,3.0208712593909075,interpolated,observed
Deliberate neural restructuring,Schooling & research,ABW,AM_C,101665.0,1.22,0.31053287732867507,interpolated,observed
Deliberate neural restructuring,Religious practice,ABW,AM_C,101665.0,0.23,0.1533568594404754,interpolated,observed
Organization,Human transportation,ABW,AM_C,101665.0,0.73,0.5989549784482262,interpolated,observed
Organization,Material transportation,ABW,AM_C,101665.0,0.12,0.039518265629640566,interpolated,observed
Organization,Allocation,ABW,AM_C,101665.0,1.54,0.13039501687790178,interpolated,observed
Experience oriented,Social,ABW,AM_C,101665.0,1.0,0.9608902532700082,interpolated,observed
Experience oriented,Active recreation,ABW,AM_C,101665.0,0.46,0.10062422984757431,interpolated,observed
Experience oriented,Meals,ABW,AM_C,101665.0,1.27,3.2601218279034234,interpolated,observed
Experience oriented,Passive,ABW,AM_C,101665.0,2.12,1.1261164583519723,interpolated,observed
Experience oriented,Interactive,ABW,AM_C,101665.0,1.28,0.571126721903284,interpolated,observed
Food provision,Food preparation,AFG,AS_S,36296111.0,1.14,0.185846162341059,interpolated,observed
Food provision,Food growth & collection,AFG,AS_S,36296111.0,0.88,0.15736248498884797,interpolated,observed
Food provision,Food processing,AFG,AS_S,36296111.0,0.1,0.006611104578167089,interpolated,observed
Nonfood provision,Materials,AFG,AS_S,36296111.0,0.04,0.0011785790383365175,interpolated,observed
Nonfood provision,Energy,AFG,AS_S,36296111.0,0.02,0.0021921920270491007,interpolated,observed
Technosphere modification,Infrastructure,AFG,AS_S,36296111.0,0.07,0.0013408846401609703,interpolated,observed
Technosphere modification,Buildings,AFG,AS_S,36296111.0,0.2,0.019169532233095747,interpolated,observed
Technosphere modification,Artifacts,AFG,AS_S,36296111.0,0.18,0.019464746627874605,interpolated,observed
Maintenance of surroundings,Inhabited environment,AFG,AS_S,36296111.0,0.68,0.1810142854669486,interpolated,observed
Somatic maintenance,Sleep & bedrest,AFG,AS_S,36296111.0,9.49,0.9778074442429884,interpolated,observed
Maintenance of surroundings,Waste management,AFG,AS_S,36296111.0,0.0,3.610323978078285e-05,interpolated,observed
Somatic maintenance,Physical child care,AFG,AS_S,36296111.0,0.27,0.06265228229261695,interpolated,observed
Somatic maintenance,Health care,AFG,AS_S,36296111.0,0.06,0.04361234163952587,interpolated,observed
Somatic maintenance,Hygiene & grooming,AFG,AS_S,36296111.0,1.2,0.10438482952116933,interpolated,observed
Deliberate neural restructuring,Schooling & research,AFG,AS_S,36296111.0,1.33,0.28319618125468565,interpolated,observed
Deliberate neural restructuring,Religious practice,AFG,AS_S,36296111.0,0.29,0.15290740322381108,interpolated,observed
Organization,Human transportation,AFG,AS_S,36296111.0,0.75,0.12083658400016849,interpolated,observed
Organization,Material transportation,AFG,AS_S,36296111.0,0.25,0.04214013834810902,interpolated,observed
Organization,Allocation,AFG,AS_S,36296111.0,0.74,0.21059915297904586,interpolated,observed
Experience oriented,Social,AFG,AS_S,36296111.0,1.8,0.5904755711509583,interpolated,observed
Experience oriented,Active recreation,AFG,AS_S,36296111.0,0.23,0.0986891342010895,interpolated,observed
Experience oriented,Meals,AFG,AS_S,36296111.0,1.62,0.3453722402778969,interpolated,observed
Experience oriented,Passive,AFG,AS_S,36296111.0,2.05,0.894595688220555,interpolated,observed
Experience oriented,Interactive,AFG,AS_S,36296111.0,0.62,0.3458969290788429,interpolated,observed
Food provision,Food preparation,AGO,AF_M,31825299.0,0.81,0.2156886519294237,interpolated,interpolated
Food provision,Food growth & collection,AGO,AF_M,31825299.0,1.06,0.5324487148124554,interpolated,interpolated
Food provision,Food processing,AGO,AF_M,31825299.0,0.02,0.010823907835239819,interpolated,interpolated
Nonfood provision,Materials,AGO,AF_M,31825299.0,0.1,0.014529130478662892,interpolated,interpolated
Nonfood provision,Energy,AGO,AF_M,31825299.0,0.08,0.011242393782606698,interpolated,interpolated
Technosphere modification,Infrastructure,AGO,AF_M,31825299.0,0.02,0.013994506891351836,interpolated,interpolated
